"Outcome","Home","OrderType","RankAdvantage","BatAdvantage","BowlAdvantage"
1,"neutral","1st. night",0.03,0.05,-0.23
1,"neutral","1st. night",0.03,0.05,-0.23
0,"away","2nd. day",-0.05,-0.12,-0.16
0,"neutral","1st. night",0.03,0.05,-0.23
0,"away","1st. day",-0.09,0.03,0.14
0,"away","1st. night",-0.09,0.03,0.14
1,"home","2nd. night",0.09,-0.03,-0.14
1,"home","1st. night",0.09,-0.03,-0.14
1,"away","2nd. night",-0.09,0.03,0.14
0,"away","2nd. day",-0.16,-0.05,-0.07
0,"away","1st. day",-0.16,-0.05,-0.07
0,"away","2nd. night",-0.16,0.12,-0.07
1,"away","1st. night",-0.08,-0.26,-0.07
0,"home","1st. night",-0.13,-0.12,0.05
0,"home","1st. day",0.08,0.26,0.07
0,"away","2nd. night",0.13,0.12,-0.05
0,"away","1st. night",-0.08,-0.26,-0.07
1,"home","2nd. night",0.08,0.26,0.07
1,"home","2nd. day",0.08,0.26,0.07
0,"away","1st. night",0.19,0.22,0.09
1,"away","2nd. night",0.29,0.19,0.0001
1,"neutral","1st. night",-0.1,0.03,0.09
1,"away","2nd. day",0.5,0.35,0.27
1,"neutral","1st. night",0.1,-0.03,-0.09
1,"away","2nd. day",0.5,0.35,0.27
1,"home","2nd. night",-0.29,-0.19,0.0001
0,"home","1st. day",-0.5,-0.35,-0.27
0,"home","2nd. night",-0.19,-0.22,-0.09
0,"home","2nd. day",-0.5,-0.3,-0.18
0,"home","2nd. day",-0.5,-0.3,-0.18
1,"away","2nd. night",0.29,0.19,0.0001
0,"away","1st. night",0.01,-0.06,-0.15
0,"away","2nd. night",0.19,0.22,0.09
1,"away","1st. night",0.29,0.19,0.0001
1,"home","2nd. night",-0.01,0.06,0.15
0,"away","2nd. day",0.01,-0.13,-0.18
1,"away","1st. day",0.21,0.28,0.66
0,"home","2nd. day",-0.07,-0.12,-0.36
0,"away","1st. day",0.07,0.12,0.36
1,"away","1st. day",0.07,0.12,0.36
0,"away","2nd. day",0.07,0.12,0.36
0,"home","2nd. day",-0.36,-0.32,-0.26
1,"away","2nd. night",0.16,0.24,0.18
1,"home","1st. night",-0.16,-0.24,-0.18
0,"away","1st. night",-0.13,-0.06,-0.16
0,"away","1st. day",-0.13,-0.06,-0.16
0,"home","1st. night",-0.16,-0.24,-0.18
1,"home","1st. night",0.13,0.06,0.16
0,"home","1st. night",-0.16,-0.24,-0.18
0,"away","1st. night",-0.13,-0.06,-0.16
0,"home","1st. night",-0.19,-0.24,-0.18
1,"away","2nd. day",-0.16,-0.06,-0.16
0,"away","2nd. day",-0.54,-0.52,-0.5
1,"home","1st. night",0.39,0.27,0.02
0,"neutral","1st. day",-0.65,-0.49,-0.42
1,"away","2nd. night",-0.39,-0.27,-0.02
0,"neutral","2nd. night",0.06,0.0001,0.13
1,"home","2nd. night",-0.11,0.03,0.08
1,"home","1st. night",0.39,0.25,0.15
0,"away","2nd. day",0.11,-0.05,-0.05
1,"neutral","1st. night",-0.06,0.03,-0.13
1,"neutral","1st. night",-0.06,0.03,-0.13
0,"away","1st. night",0.11,-0.05,-0.05
1,"away","1st. night",0.07,0.06,0.09
0,"away","1st. day",0.11,-0.05,-0.05
0,"away","2nd. night",0.07,0.06,0.09
1,"away","2nd. night",0.07,0.06,0.09
1,"home","1st. night",-0.11,0.05,0.05
1,"home","2nd. night",-0.02,0.3,0.15
0,"home","2nd. night",-0.02,0.3,0.15
1,"home","2nd. night",-0.02,0.3,0.15
1,"away","1st. night",0.02,-0.3,-0.15
1,"home","1st. night",-0.02,0.3,0.15
1,"away","2nd. day",0.44,0.03,0.16
0,"neutral","2nd. day",0.05,-0.19,-0.17
0,"neutral","2nd. day",-0.05,0.19,0.17
1,"home","1st. day",-0.39,-0.22,-0.33
0,"home","1st. day",-0.44,-0.03,-0.16
1,"home","1st. night",0.09,0.27,0.11
0,"away","2nd. night",-0.09,-0.27,-0.11
1,"home","1st. night",0.09,0.27,0.11
1,"home","1st. day",0.12,-0.17,-0.03
0,"away","2nd. day",-0.12,0.17,0.03
0,"away","1st. day",-0.12,0.17,0.03
1,"home","1st. night",0.3,0.1,0.18
0,"home","1st. night",0.3,0.1,0.18
1,"home","2nd. night",0.03,0.06,0.0001
1,"home","2nd. night",0.3,0.1,0.18
0,"away","2nd. night",-0.03,-0.06,0.0001
1,"home","1st. night",0.3,0.1,0.18
0,"home","2nd. night",0.03,0.06,0.0001
1,"home","1st. night",0.3,0.1,0.18
1,"home","2nd. day",0.08,0.25,0.06
0,"away","2nd. day",0.09,0.18,0.04
0,"away","2nd. night",-0.08,-0.25,-0.06
1,"home","2nd. night",0.08,0.25,0.06
1,"home","1st. day",-0.09,-0.18,-0.04
1,"home","1st. night",0.08,0.25,0.06
0,"away","2nd. night",-0.08,-0.25,-0.06
1,"away","1st. day",0.03,-0.04,0.06
1,"away","2nd. night",-0.02,0.15,-0.07
1,"away","1st. day",0.03,-0.04,0.06
1,"home","1st. day",-0.03,0.04,-0.06
0,"away","2nd. day",-0.02,0.15,-0.07
0,"away","1st. day",0.03,-0.04,0.06
1,"away","1st. night",-0.02,0.15,-0.07
1,"away","1st. day",0.03,-0.04,0.06
0,"away","1st. night",-0.02,0.15,-0.07
0,"home","2nd. day",-0.1,-0.46,-0.19
1,"away","2nd. night",-0.02,0.15,-0.07
0,"home","1st. day",-0.1,-0.46,-0.19
0,"home","2nd. day",-0.1,-0.46,-0.19
1,"neutral","1st. day",0.05,0.06,0.01
1,"neutral","1st. day",0.05,0.06,0.01
0,"neutral","1st. day",0.05,0.06,0.01
0,"neutral","1st. day",0.05,0.06,0.01
0,"neutral","1st. day",-0.05,-0.06,-0.01
0,"home","2nd. night",0.02,-0.19,0.02
0,"away","2nd. day",-0.02,0.07,0.06
1,"home","2nd. day",0.06,-0.45,-0.08
0,"home","2nd. day",0.06,-0.45,-0.08
0,"home","1st. day",0.06,-0.45,-0.08
0,"away","1st. day",-0.54,-0.47,-0.37
0,"away","2nd. day",-0.54,-0.47,-0.37
0,"home","2nd. day",-0.58,-0.4,-0.32
1,"away","2nd. day",0.58,0.03,0.14
1,"away","2nd. day",0.39,0.37,0.18
0,"home","2nd. day",-0.58,-0.4,-0.32
1,"neutral","2nd. day",-0.19,-0.03,-0.14
0,"away","2nd. night",0.11,-0.03,0.02
0,"away","2nd. day",0.11,-0.03,0.02
1,"away","2nd. day",0.11,-0.03,0.02
1,"home","2nd. day",-0.11,0.1,0.19
0,"neutral","2nd. day",-0.24,-0.14,-0.27
0,"neutral","2nd. day",-0.23,-0.16,-0.1
0,"away","2nd. day",0.04,-0.07,-0.05
0,"neutral","1st. night",0.28,0.09,0.15
1,"neutral","2nd. day",-0.19,-0.21,-0.22
0,"neutral","1st. day",0.19,0.03,0.14
1,"away","1st. night",-0.22,0.24,-0.17
1,"home","2nd. day",-0.07,-0.02,-0.01
1,"neutral","2nd. day",-0.05,0.07,-0.05
0,"away","1st. night",-0.22,0.24,-0.17
1,"neutral","2nd. day",-0.04,0.05,0.12
1,"away","2nd. day",-0.17,-0.12,-0.13
1,"neutral","2nd. day",0.21,0.14,0.16
0,"neutral","2nd. day",0.23,0.16,0.1
0,"home","2nd. day",-0.31,-0.61,-0.18
0,"home","1st. day",0.39,0.23,0.25
0,"home","2nd. day",-0.31,-0.61,-0.18
1,"home","2nd. day",0.39,0.24,0.23
1,"home","1st. day",-0.31,-0.46,-0.2
1,"home","2nd. day",0.39,0.24,0.23
0,"home","1st. day",-0.31,-0.46,-0.2
0,"home","1st. day",0.39,0.24,0.23
1,"away","2nd. day",-0.39,-0.24,-0.23
1,"away","2nd. night",0.19,0.21,0.19
1,"away","2nd. night",0.19,0.21,0.19
0,"home","1st. night",-0.19,-0.21,-0.19
1,"away","1st. night",0.19,0.21,0.19
0,"home","1st. night",-0.19,-0.21,-0.19
1,"home","1st. night",0.0001,0.04,0.03
0,"away","1st. night",-0.29,-0.41,-0.17
1,"home","1st. night",0.0001,0.04,0.03
0,"away","1st. night",0.0001,-0.04,-0.03
0,"away","2nd. day",-0.29,-0.41,0.0001
1,"home","2nd. night",0.29,0.41,0.17
1,"away","1st. night",0.0001,-0.04,-0.03
1,"home","2nd. night",0.29,0.41,0.17
0,"away","1st. night",0.0001,-0.05,-0.01
0,"neutral","2nd. night",-0.08,-0.04,-0.03
0,"away","1st. day",-0.21,-0.06,-0.18
1,"neutral","1st. night",0.08,0.04,0.03
0,"away","2nd. day",-0.21,-0.06,-0.18
0,"neutral","1st. night",-0.08,-0.04,-0.03
0,"neutral","1st. night",-0.08,-0.04,-0.03
0,"home","1st. night",0.05,0.37,0.16
1,"neutral","1st. day",0.21,0.06,0.18
0,"neutral","1st. night",-0.08,-0.04,-0.03
0,"away","1st. night",-0.05,-0.37,-0.16
0,"away","2nd. night",-0.05,-0.37,-0.16
0,"neutral","2nd. night",-0.11,-0.13,0.1
1,"neutral","1st. night",-0.11,-0.13,0.1
1,"away","2nd. night",-0.26,-0.2,-0.22
0,"neutral","1st. night",0.11,0.13,-0.1
0,"away","2nd. night",-0.26,-0.2,-0.22
1,"home","2nd. night",0.26,0.2,0.22
1,"home","2nd. day",0.27,0.0001,0.09
0,"away","2nd. day",-0.27,0.0001,-0.09
1,"home","1st. day",0.27,0.0001,0.09
0,"away","2nd. day",-0.27,0.0001,0.06
0,"away","1st. day",-0.27,0.0001,0.06
1,"home","1st. day",0.27,0.0001,-0.06
1,"away","2nd. night",-0.03,0.1,0.03
1,"home","2nd. night",0.35,0.2,0.15
0,"away","1st. night",-0.13,0.0001,0.06
0,"neutral","2nd. night",0.28,0.15,0.21
1,"home","1st. day",0.13,0.0001,-0.06
0,"home","1st. night",0.03,-0.1,-0.03
1,"home","1st. night",0.07,0.05,-0.06
0,"home","2nd. night",0.03,-0.1,-0.03
0,"neutral","1st. night",-0.28,-0.15,-0.21
1,"home","1st. night",0.35,0.2,0.15
0,"home","1st. night",0.07,0.05,-0.06
1,"home","2nd. night",0.03,-0.1,-0.03
1,"away","1st. night",-0.07,-0.05,0.06
0,"home","2nd. day",0.03,-0.1,-0.03
0,"home","1st. night",0.02,-0.08,-0.04
1,"away","2nd. day",-0.02,0.08,0.04
0,"home","2nd. night",0.02,-0.08,-0.04
1,"neutral","1st. night",0.01,-0.12,-0.02
0,"away","1st. night",-0.02,0.08,0.04
1,"neutral","1st. night",-0.01,0.12,0.02
0,"neutral","1st. night",-0.01,0.12,0.02
0,"home","2nd. night",0.02,-0.08,-0.04
0,"neutral","1st. night",-0.01,0.12,0.02
1,"away","2nd. night",-0.02,0.08,0.04
1,"neutral","1st. night",0.01,-0.12,-0.02
1,"home","2nd. night",-0.02,-0.09,-0.1
1,"away","2nd. night",0.02,0.09,0.1
0,"home","2nd. night",-0.02,-0.09,-0.1
1,"neutral","2nd. day",-0.25,-0.23,-0.3
1,"neutral","1st. day",0.46,0.43,0.52
1,"home","1st. day",-0.01,0.12,0.02
1,"home","2nd. day",-0.02,-0.09,-0.1
0,"neutral","2nd. day",0.25,0.33,0.35
0,"neutral","1st. day",-0.46,-0.43,-0.52
1,"away","2nd. day",0.02,0.09,0.1
0,"neutral","2nd. day",-0.32,-0.23,-0.06
0,"neutral","1st. day",0.21,0.1,0.17
0,"home","1st. day",-0.22,0.02,-0.15
0,"neutral","1st. day",-0.25,-0.33,-0.35
0,"neutral","2nd. day",-0.46,-0.33,-0.47
0,"neutral","1st. day",-0.11,-0.13,0.11
0,"neutral","1st. day",0.21,0.1,0.17
0,"away","2nd. day",0.8,0.68,0.49
0,"away","1st. night",-0.17,-0.4,-0.13
0,"away","2nd. day",-0.17,-0.4,-0.13
0,"away","2nd. night",-0.17,-0.4,-0.13
0,"away","1st. night",-0.17,-0.4,-0.13
0,"away","1st. day",-0.17,-0.4,-0.13
1,"away","2nd. day",-0.02,-0.01,0.06
0,"home","2nd. day",-0.38,-0.2,-0.36
1,"home","1st. day",0.02,0.01,-0.06
0,"home","1st. day",-0.38,-0.2,-0.36
1,"home","2nd. day",0.02,0.01,-0.06
0,"home","1st. day",-0.38,-0.2,-0.36
1,"away","1st. day",0.38,0.2,0.36
1,"away","1st. day",0.38,0.2,0.36
1,"away","1st. day",0.19,0.27,0.02
0,"away","2nd. night",0.19,0.27,0.02
1,"away","1st. day",0.19,0.27,0.02
0,"home","1st. day",-0.28,0.07,0.1
0,"home","1st. night",-0.28,0.07,0.1
0,"home","2nd. day",-0.28,0.07,0.1
0,"away","2nd. night",0.28,-0.07,-0.1
1,"home","1st. night",-0.28,0.07,0.1
0,"home","2nd. day",-0.2,-0.01,-0.1
0,"away","1st. day",0.2,0.01,0.1
0,"home","1st. day",-0.2,-0.01,-0.1
1,"neutral","1st. day",0.09,0.03,-0.14
0,"neutral","1st. day",-0.62,-0.65,-0.57
1,"neutral","1st. day",-0.14,-0.31,-0.03
0,"neutral","2nd. day",-0.75,-0.79,-0.8
0,"neutral","1st. day",-0.13,-0.14,-0.23
1,"neutral","1st. day",-0.23,-0.34,0.11
1,"neutral","2nd. day",0.23,0.16,0.36
0,"neutral","1st. day",-0.33,-0.36,-0.02
0,"neutral","1st. day",-0.13,-0.14,-0.23
1,"neutral","1st. day",0.23,0.34,-0.11
1,"neutral","1st. day",-0.1,-0.02,-0.13
1,"neutral","2nd. day",0.23,0.16,0.36
1,"home","2nd. day",0.45,0.08,0.27
1,"home","1st. night",0.45,0.17,0.45
0,"away","1st. night",-0.45,-0.17,-0.45
0,"home","2nd. day",-0.37,-0.22,-0.16
1,"away","2nd. night",0.37,0.22,0.16
1,"away","2nd. day",0.37,0.22,0.16
1,"home","2nd. night",0.41,0.32,0.51
1,"home","1st. night",0.3,0.27,0.34
1,"home","1st. night",-0.37,-0.22,-0.16
1,"home","2nd. night",0.3,0.27,0.34
1,"home","2nd. night",0.3,0.27,0.34
0,"home","2nd. night",0.41,0.32,0.51
1,"home","1st. night",0.41,0.32,0.51
0,"away","1st. night",-0.41,-0.32,-0.51
1,"away","2nd. day",0.08,0.06,-0.01
1,"neutral","1st. night",0.06,0.02,0.0001
0,"away","2nd. night",0.08,0.06,-0.01
0,"neutral","1st. night",0.06,0.02,0.0001
0,"home","2nd. night",-0.08,-0.06,0.01
0,"away","1st. night",-0.18,-0.16,-0.25
1,"away","2nd. night",-0.18,-0.16,-0.25
1,"home","2nd. night",0.18,0.16,0.25
1,"home","1st. night",0.25,0.12,0.16
1,"home","1st. night",0.25,0.12,0.16
0,"away","2nd. day",-0.25,-0.12,-0.16
1,"home","1st. night",-0.16,-0.34,-0.14
0,"home","1st. night",-0.16,-0.34,-0.14
1,"away","2nd. night",0.16,0.34,0.14
0,"home","1st. night",0.05,-0.17,0.03
1,"home","2nd. night",0.05,-0.17,0.03
0,"home","1st. night",-0.07,-0.09,-0.12
0,"away","1st. night",-0.05,0.17,-0.03
1,"away","1st. night",0.07,0.09,0.12
1,"away","2nd. day",-0.05,0.17,-0.03
0,"home","1st. night",-0.07,-0.09,-0.12
1,"home","2nd. night",0.05,-0.17,0.03
1,"home","2nd. night",-0.07,-0.09,-0.12
